ID,Title,Severity,Priority,Area,URL_or_Endpoint,Steps,Expected,Actual,StatusCode,Evidence,Owner,Status,FixRecommendation
BUG-001,"Duplicate About key in en.json — raw i18n keys on English About page",Critical,P1,i18n / Public Page,https://nextacademyedu.com/en/about,"1. Open /en/about in browser; 2. Observe hero section text",Translated English text displayed,"Raw keys shown: About.heroHighlight, About.stat1–stat4",200,about_page_en_1774222000000_png_1774222446028.png,Frontend,Open,"Merge two duplicate 'About' objects in src/messages/en.json into a single block containing all keys"
BUG-002,"Booking API returns 401 for authenticated users",Critical,P0,Auth / Booking,POST /api/bookings/create,"1. Login with valid credentials; 2. Navigate to program detail; 3. Click 'Book Now' button",Booking created and redirect to checkout,401 Unauthorized response,401,user_login_dashboard_1774221969435.webp,Backend,Open,"Debug cookie flow: check payload-token cookie Domain/SameSite/Path attributes match API origin; verify NEXT_PUBLIC_SERVER_URL config"
BUG-003,"Test popup with fake data on Terms page",High,P2,CMS / Legal Page,https://nextacademyedu.com/en/terms,"1. Open /en/terms; 2. Observe popup overlay","Terms page loads cleanly, no popup","Popup with test data (asd, f2dsa, dcas) appears over content",200,terms_page_1774223108975.png,CMS Admin,Open,"Delete or set to draft the test popup in Payload Admin → Popups"
BUG-004,"Test program 'sad' visible in program listing",Low,P3,CMS / Programs,https://nextacademyedu.com/en/programs,"1. Open /en/programs; 2. Scroll through grid","Only real programs shown","Test program 'sad' appears with no instructor, no description",200,program_detail_sad_1774222000000_png_1774222387773.png,CMS Admin,Open,"Delete or set to draft in Payload Admin → Programs"
BUG-005,"Registration page field labels crowded on mobile viewport",Low,P4,UI / Responsive,https://nextacademyedu.com/en/register,"1. Open /en/register on mobile viewport (<400px); 2. Check field spacing",Fields properly spaced,Labels slightly overlap on narrow screens,200,registration_page_en_1774222000000_png_1774222405004.png,Frontend,Open,"Add responsive padding/margin to registration form fields in CSS module"
BUG-006,"CRM domain down — 503 + self-signed TLS certificate",Critical,P1,DevOps / CRM,https://crm.nextacademyedu.com/healthz,"1. curl -I https://crm.nextacademyedu.com/healthz","200 OK with valid TLS","503 Service Unavailable, CN=TRAEFIK DEFAULT CERT (self-signed)",503,N/A (curl output),DevOps,Open,"1. Issue valid cert via Let's Encrypt in Coolify/Traefik; 2. Verify Twenty CRM container health; 3. Check router config"
BUG-007,"Cookie SameSite/Domain config suspected mismatch",High,P1,Auth / Security,N/A,"1. Login; 2. Inspect cookies in DevTools; 3. Attempt API call to /api/bookings/create","payload-token cookie sent with API requests","Cookie may not be sent due to SameSite=Strict or Domain mismatch",401,user_login_dashboard_1774221969435.webp,Backend,Open,"Audit Set-Cookie headers on login response; ensure SameSite=Lax, Domain matches, Path=/"
BUG-008,"No CSRF protection on state-changing POST endpoints",High,P2,Security,POST /api/bookings/create,"1. Check request headers for CSRF token; 2. Attempt POST without Origin header",Request rejected without valid CSRF token,Request processed (or returns 401 for other reasons) without CSRF check,N/A,N/A,Backend,Open,"Implement CSRF token validation on all state-changing POST/PUT/DELETE endpoints"
BUG-009,"API error responses may leak internal details",Medium,P3,Security,"Various /api/* endpoints","1. Trigger error on API endpoint; 2. Check response body for stack traces",Generic error message returned,"Error responses may include internal paths, stack traces, or Payload internals",500,N/A,Backend,Open,"Add error sanitization middleware that strips stack traces and internal details in production"
BUG-010,"No rate limiting on authentication endpoints",Medium,P2,Security,"POST /api/users/login, POST /api/users/forgot-password","1. Send rapid successive requests to login endpoint; 2. Check if rate limited",Rate limited after N failed attempts,No rate limiting observed,200,N/A,Backend,Open,"Implement rate limiting (e.g. express-rate-limit or Nginx limit_req) on /api/users/login and /forgot-password"
BUG-011,"Missing Cache-Control headers on public API responses",Medium,P4,Performance,"GET /api/programs, GET /api/instructors","1. curl -I public API endpoint; 2. Check Cache-Control header",Cache-Control with appropriate max-age for public data,No Cache-Control header present,200,N/A,Backend,Open,"Add Cache-Control: public, max-age=300 to public listing endpoints"
